<ID|readonly|noverify>;<English>▃USA▀GER▂USSR▄UK▅JP☀ROC␗PRC▄IT▄FRISR⚜FR◊GDR◄FRG◐HUN◔HUN◗NLD◘NLD
ships/uss_cv_immortal_0;Carrier
ships/uss_cv_immortal_1;Carrier
ships/uss_cv_immortal_2;Carrier
ships/uss_lcvp_light_0;Landing craft
ships/uss_lcvp_light_1;Landing craft
ships/uss_lcvp_light_2;Landing craft
tracked_vehicles/ussr_t34_85_increased_pitch_0;Tank
tracked_vehicles/ussr_t34_85_increased_pitch_1;Tank
tracked_vehicles/ussr_t34_85_increased_pitch_2;Tank
air_defence/searchLightTop_0;Search light
air_defence/searchLightTop_1;Search light
air_defence/searchLightTop_2;Search light
ships/germ_bb_tirpitz_searchlight_top_0;Battleship
ships/germ_bb_tirpitz_searchlight_top_1;Battleship
ships/germ_bb_tirpitz_searchlight_top_2;Battleship
ships/germ_dd_z28_searchlight_top_0;Destroyer
ships/germ_dd_z28_searchlight_top_1;Destroyer
ships/germ_dd_z28_searchlight_top_2;Destroyer
wheeled_vehicles/truck_arcade_0;Cargo truck
wheeled_vehicles/truck_arcade_1;Truck
wheeled_vehicles/truck_arcade_2;Truck
ships/cargo_ship_arcade_0;Cargo ship
ships/cargo_ship_arcade_1;Cargo ship
ships/cargo_ship_arcade_2;Ship
structures/dummy_arcade_0;Base building
structures/dummy_arcade_1;Base building
structures/dummy_arcade_2;Base building
structures/dummy_airfield_0;Airfield
structures/dummy_airfield_1;Airfield
structures/dummy_airfield_2;Airfield
structures/flag_victory_0;Flag
structures/flag_victory_1;Flag
structures/flag_victory_2;Flag
structures/dummy_airfield_5k_0;Airfield
structures/dummy_airfield_5k_1;Airfield
structures/dummy_airfield_5k_2;Airfield
structures/dummy_bombtarget_0;Bombing point
structures/dummy_bombtarget_1;Bombing point
structures/dummy_bombtarget_2;Bombing point
structures/dummy_bombtarget_airfield_0;Runway
structures/dummy_bombtarget_airfield_1;Runway
structures/dummy_bombtarget_airfield_2;Runway
structures/tank_target_10a_char_0;Target №10a
structures/tank_target_10a_char_1;Target №10a
structures/tank_target_10a_char_2;Target №10a
structures/tank_target_12_char_0;Target №12
structures/tank_target_12_char_1;Target №12
structures/tank_target_12_char_2;Target №12
structures/tank_target_17_char_0;Target №17
structures/tank_target_17_char_1;Target №17
structures/tank_target_17_char_2;Target №17
structures/tank_target_25_char_0;Target №25
structures/tank_target_25_char_1;Target №25
structures/tank_target_25_char_2;Target №25
structures/tank_target_8_char_0;Target №8
structures/tank_target_8_char_1;Target №8
structures/tank_target_8_char_2;Target №8
structures/tank_target_9_char_0;Target №9
structures/tank_target_9_char_1;Target №9
structures/tank_target_9_char_2;Target №9
unic_hornet;USS Hornet CV-8
unic_hornet_0;USS Hornet CV-8
unic_hornet_1;USS Hornet
unic_hornet_2;Carrier
unic_enterprise;USS Enterprise CV-6
unic_enterprise_0;USS Enterprise CV-6
unic_enterprise_1;USS Enterprise
unic_enterprise_2;Carrier
unic_yorktown;USS Yorktown CV-5
unic_yorktown_0;USS Yorktown CV-5
unic_yorktown_1;USS Yorktown
unic_yorktown_2;Carrier
unic_soryu;IJN Sōryū
unic_soryu_0;IJN Sōryū
unic_soryu_1;IJN Sōryū
unic_soryu_2;Carrier
unic_hiryu;IJN Hiryū
unic_hiryu_0;IJN Hiryū
unic_hiryu_1;IJN Hiryū
unic_hiryu_2;Carrier
unic_kaga;IJN Kaga
unic_kaga_0;IJN Kaga
unic_kaga_1;IJN Kaga
unic_kaga_2;Carrier
unic_akagi;IJN Akagi
unic_akagi_0;IJN Akagi
unic_akagi_1;IJN Akagi
unic_akagi_2;Carrier
unic_shokaku;IJN Shōkaku
unic_shokaku_0;IJN Shōkaku
unic_shokaku_1;IJN Shōkaku
unic_shokaku_2;Carrier
unic_zuikaku;IJN Zuikaku
unic_zuikaku_0;IJN Zuikaku
unic_zuikaku_1;IJN Zuikaku
unic_zuikaku_2;Carrier
unic_saratoga;USS Saratoga CV-3
unic_saratoga_0;USS Saratoga CV-3
unic_saratoga_1;USS Saratoga
unic_saratoga_2;Carrier
unic_zuiho;IJN Zuiho
unic_zuiho_0;IJN Zuiho
unic_zuiho_1;IJN Zuiho
unic_zuiho_2;Carrier
unic_wasp;USS Wasp CV-7
unic_wasp_0;USS Wasp CV-7
unic_wasp_1;USS Wasp
unic_wasp_2;Carrier
unic_lexington;USS Lexington CV-2
unic_lexington_0;USS Lexington CV-2
unic_lexington_1;USS Lexington
unic_lexington_2;Carrier
unic_shoho;IJN Shoho
unic_shoho_0;IJN Shoho
unic_shoho_1;IJN Shoho
unic_shoho_2;Carrier
unic_wheeler_hangar;Hangar
unic_wheeler_hangar_0;Hangar
unic_wheeler_hangar_1;Hangar
unic_wheeler_hangar_2;Hangar
ships/fishboat1_0;Boat
ships/fishboat1_1;Boat
ships/fishboat1_2;Boat
ships/fishboat2_0;Boat
ships/fishboat2_1;Boat
ships/fishboat2_2;Boat
ships/fishboat3_0;Boat
ships/fishboat3_1;Boat
ships/fishboat3_2;Boat
ships/fishboat4_0;Boat
ships/fishboat4_1;Boat
ships/fishboat4_2;Boat
ships/fishboat5_0;Boat
ships/fishboat5_1;Boat
ships/fishboat5_2;Boat
ships/fishboat6_0;Boat
ships/fishboat6_1;Boat
ships/fishboat6_2;Boat
ships/fishboat7_0;Boat
ships/fishboat7_1;Boat
ships/fishboat7_2;Boat
ships/germ_bb_tirpitz_0;Battleship
ships/germ_bb_tirpitz_1;Battleship
ships/germ_bb_tirpitz_2;Battleship
ships/germ_dd_z28_0;Destroyer
ships/germ_dd_z28_1;Destroyer
ships/germ_dd_z28_2;Destroyer
ships/hms_cv_illustrious_0;Carrier
ships/hms_cv_illustrious_1;Carrier
ships/hms_cv_illustrious_2;Carrier
ships/hms_leander_0;Light Cruiser
ships/hms_leander_1;Light Cruiser
ships/hms_leander_2;Light Cruiser
ships/ijn_ca_nagara_0;Light Cruiser
ships/ijn_ca_nagara_1;Light Cruiser
ships/ijn_ca_nagara_2;Light Cruiser
ships/ijn_cv_zuikaku_story_0;Carrier
ships/ijn_cv_zuikaku_story_1;Carrier
ships/ijn_cv_zuikaku_story_2;Carrier
ships/ijn_cv_zuikaku_0;Carrier
ships/ijn_cv_zuikaku_1;Carrier
ships/ijn_cv_zuikaku_2;Carrier
ships/ijn_cvl_ryujo_0;Light carrier
ships/ijn_cvl_ryujo_1;Light carrier
ships/ijn_cvl_ryujo_2;Light carrier
ships/ijn_dd_shiratsuyu_light_0;Destroyer
ships/ijn_dd_shiratsuyu_light_1;Destroyer
ships/ijn_dd_shiratsuyu_light_2;Destroyer
ships/ijn_lcvp_0;Landing craft
ships/ijn_lcvp_1;Landing craft
ships/ijn_lcvp_2;Landing craft
ships/ijn_lcvp_lite_0;Landing craft
ships/ijn_lcvp_lite_1;Landing craft
ships/ijn_lcvp_lite_2;Landing craft
ships/ijn_patrol_boat_0;Patrol boat
ships/ijn_patrol_boat_1;Patrol boat
ships/ijn_patrol_boat_2;Patrol boat
ships/ijn_patrol_boat_lite_0;Patrol boat
ships/ijn_patrol_boat_lite_1;Patrol boat
ships/ijn_patrol_boat_lite_2;Patrol boat
ships/ijn_brander_0;Fire boat
ships/ijn_brander_1;Fire boat
ships/ijn_brander_2;Fire boat
ships/ital_cv_aquila_0;Carrier
ships/ital_cv_aquila_1;Carrier
ships/ital_cv_aquila_2;Carrier
ships/uss_brooklyn_0;Light Cruiser
ships/uss_brooklyn_1;Light Cruiser
ships/uss_brooklyn_2;Light Cruiser
ships/uss_cv_wasp_story_0;Carrier
ships/uss_cv_wasp_story_1;Carrier
ships/uss_cv_wasp_story_2;Carrier
ships/uss_cv_wasp_0;Carrier
ships/uss_cv_wasp_1;Carrier
ships/uss_cv_wasp_2;Carrier
ships/uss_dd_georgetown_0;Destroyer
ships/uss_dd_georgetown_1;Destroyer
ships/uss_dd_georgetown_2;Destroyer
ships/uss_dd_versus_0;Destroyer
ships/uss_dd_versus_1;Destroyer
ships/uss_dd_versus_2;Destroyer
ships/uss_dd_versus_less_weapon_0;Destroyer
ships/uss_dd_versus_less_weapon_1;Destroyer
ships/uss_dd_versus_less_weapon_2;Destroyer
ships/uss_lcvp_0;Landing craft
ships/uss_lcvp_1;Landing craft
ships/uss_lcvp_2;Landing craft
ships/uss_lcvp_lite_0;Landing craft
ships/uss_lcvp_lite_1;Landing craft
ships/uss_lcvp_lite_2;Landing craft
ships/uss_lcvp_includes_0;Landing craft
ships/uss_lcvp_includes_1;Landing craft
ships/uss_lcvp_includes_2;Landing craft
ships/uss_lst_0;Landing craft
ships/uss_lst_1;Landing craft
ships/uss_lst_2;Landing craft
ships/uss_lst_heavy_0;Heavy Landing craft
ships/uss_lst_heavy_1;Heavy Landing craft
ships/uss_lst_heavy_2;Heavy Landing craft
ships/uss_lst_includes_0;Landing craft
ships/uss_lst_includes_1;Landing craft
ships/uss_lst_includes_2;Landing craft
ships/uss_pt_109_0;Patrol boat
ships/uss_pt_109_1;Patrol boat
ships/uss_pt_109_2;Patrol boat
ships/uss_pt_109_lite_0;Patrol boat
ships/uss_pt_109_lite_1;Patrol boat
ships/uss_pt_109_lite_2;Patrol boat
ships/ussr_tb_g5_0;Patrol boat
ships/ussr_tb_g5_1;Patrol boat
ships/ussr_tb_g5_2;Patrol boat
ships/ussr_tb_g5_lite_0;Patrol boat
ships/ussr_tb_g5_lite_1;Patrol boat
ships/ussr_tb_g5_lite_2;Patrol boat
Destroyer_USSR_Type7_0;Destroyer
Destroyer_USSR_Type7_1;Destroyer
Destroyer_USSR_Type7_2;Destroyer
ships/ijn_dd_shiratsuyu_0;Destroyer
ships/ijn_dd_shiratsuyu_1;Destroyer
ships/ijn_dd_shiratsuyu_2;Destroyer
ships/uss_dd_sims_0;Destroyer
ships/uss_dd_sims_1;Destroyer
ships/uss_dd_sims_2;Destroyer
ships/uss_dd_sims_noguns_0;Destroyer
ships/uss_dd_sims_noguns_1;Destroyer
ships/uss_dd_sims_noguns_2;Destroyer
ships/uss_ca_sanfrancisco_0;Heavy Cruiser
ships/uss_ca_sanfrancisco_1;Heavy Cruiser
ships/uss_ca_sanfrancisco_2;Heavy Cruiser
ships/ijn_ca_myoko_0;Heavy Cruiser
ships/ijn_ca_myoko_1;Heavy Cruiser
ships/ijn_ca_myoko_2;Heavy Cruiser
ships/uss_bb_arizona_story_0;Battleship
ships/uss_bb_arizona_story_1;Battleship
ships/uss_bb_arizona_story_2;Battleship
ships/uss_bb_arizona_0;Battleship
ships/uss_bb_arizona_1;Battleship
ships/uss_bb_arizona_2;Battleship
ships/ijn_bb_nagato_story_0;Battleship
ships/ijn_bb_nagato_story_1;Battleship
ships/ijn_bb_nagato_story_2;Battleship
ships/ijn_bb_yamato_story_0;Battleship
ships/ijn_bb_yamato_story_1;Battleship
ships/ijn_bb_yamato_story_2;Battleship
ships/ijn_bb_nagato_0;Battleship
ships/ijn_bb_nagato_1;Battleship
ships/ijn_bb_nagato_2;Battleship
ships/ijn_bb_yamato_0;Battleship
ships/ijn_bb_yamato_1;Battleship
ships/ijn_bb_yamato_2;Battleship
ships/ijn_cv_soryu_story_0;Carrier
ships/ijn_cv_soryu_story_1;Carrier
ships/ijn_cv_soryu_story_2;Carrier
ships/ijn_cv_akagi_story_0;Carrier
ships/ijn_cv_akagi_story_1;Carrier
ships/ijn_cv_akagi_story_2;Carrier
ships/uss_cv_enterprise_story_0;Carrier
ships/uss_cv_enterprise_story_1;Carrier
ships/uss_cv_enterprise_story_2;Carrier
ships/uss_cv_lexington_story_0;Carrier
ships/uss_cv_lexington_story_1;Carrier
ships/uss_cv_lexington_story_2;Carrier
ships/ijn_cv_soryu_0;Carrier
ships/ijn_cv_soryu_1;Carrier
ships/ijn_cv_soryu_2;Carrier
ships/ijn_cv_akagi_0;Carrier
ships/ijn_cv_akagi_1;Carrier
ships/ijn_cv_akagi_2;Carrier
ships/uss_cv_enterprise_0;Carrier
ships/uss_cv_enterprise_1;Carrier
ships/uss_cv_enterprise_2;Carrier
ships/uss_cv_lexington_0;Carrier
ships/uss_cv_lexington_1;Carrier
ships/uss_cv_lexington_2;Carrier
ships/hms_cargo_ship_0;Cargo ship
ships/hms_cargo_ship_1;Cargo ship
ships/hms_cargo_ship_2;Cargo ship
ships/ijn_cargo_ship_0;Cargo ship
ships/ijn_cargo_ship_1;Cargo ship
ships/ijn_cargo_ship_2;Cargo ship
ships/ijn_cargo_ship_heavy_0;Cargo ship
ships/ijn_cargo_ship_heavy_1;Cargo ship
ships/ijn_cargo_ship_heavy_2;Cargo ship
ships/uss_cargo_ship_0;Cargo ship
ships/uss_cargo_ship_1;Cargo ship
ships/uss_cargo_ship_2;Cargo ship
ships/cargo_ship_0;Cargo ship
ships/cargo_ship_1;Cargo ship
ships/cargo_ship_2;Cargo ship
ships/cargo_ship_light_0;Light cargo ship
ships/cargo_ship_light_1;Light cargo ship
ships/cargo_ship_light_2;Light cargo ship
air_defence/germ_20mm_flak38_0;AAA
air_defence/germ_20mm_flak38_1;AAA
air_defence/germ_20mm_flak38_2;AAA
air_defence/germ_20mm_flak38_airfield_0;AAA
air_defence/germ_20mm_flak38_airfield_1;AAA
air_defence/germ_20mm_flak38_airfield_2;AAA
air_defence/germ_20mm_flak38_helipad_0;AAA
air_defence/germ_20mm_flak38_helipad_1;AAA
air_defence/germ_20mm_flak38_helipad_2;AAA
air_defence/germ_20mm_flak38_longrange_helipad_0;AAA
air_defence/germ_20mm_flak38_longrange_helipad_1;AAA
air_defence/germ_20mm_flak38_longrange_helipad_2;AAA
air_defence/germ_20mm_flak38_noground_light_0;AAA
air_defence/germ_20mm_flak38_noground_light_1;AAA
air_defence/germ_20mm_flak38_noground_light_2;AAA
